name,platform,publisher,developer,Total_Shipped,year
Costume Quest,PC,Unknown,Double Fine Productions,0.34,2011
DETOUR,PC,Unknown,Sandswept Studios,0.34,2011
Solar 2,PC,Unknown,Murudai,0.34,2011
Atom Zombie Smasher,PC,Unknown,Blendo Games,0.32,2011
1001 Touch Games,DS,Unknown,Avanquest Software,0.31,2011
Capsized,PC,Unknown,Alientrap Games Inc,0.25,2011
Angry Birds,PC,Unknown,Rovio Mobile,0.23,2011
NightSky,PC,Unknown,Nicalis,0.22,2011
Now! That's What I Call Music: Dance & Sing,Wii,Unknown,Tubby Games,0.21,2011
Yoostar2,X360,Unknown,Blitz Game Studios,0.21,2011
Blocks That Matter,PC,Unknown,Swing Swing Submarine,0.21,2011
Valkyria Chronicles III: Unrecorded Chronicles,PSP,Unknown,Sega WOW Overworks,0.21,2011
Bunch of Heroes,PC,Unknown,NGD Studios,0.16,2011
Kids Learn Math: A+ Edition,DS,Unknown,Talking Stick Games,0.15,2011
Black * Rock Shooter: The Game,PSP,Unknown,imageepoch Inc.,0.15,2011
Kung-Fu: High Impact,X360,Unknown,Virtual Air Guitar Company,0.13,2011
JASF: Jane's Advanced Strike Fighters,PS3,Unknown,Trickstar Games,0.11,2011
Saigo no Yakusoku no Monogatari,PSP,Unknown,imageepoch Inc.,0.11,2011
Yoostar2,PS3,Unknown,Blitz Game Studios,0.1,2011
May's Mystery: Forbidden Memories,DS,Unknown,Mastertronic,0.1,2011
Mystery Stories: Curse of the Ancient Spirits,DS,Unknown,Avanquest Software,0.1,2011
Junior Mystery Quest,DS,Unknown,Navarre Corp,0.09,2011
JASF: Jane's Advanced Strike Fighters,X360,Unknown,Trickstar Games,0.09,2011
Yoostar on MTV,X360,Unknown,Yoostar Entertainment Group,0.09,2011
Match 3 Madness,DS,Unknown,Most Wanted Entertainment,0.05,2011
Max & the Magic Marker,DS,Unknown,Press Play,0.05,2011
Metal Max 2 Reloaded,DS,Unknown,Crea-Tech,0.05,2011
Kids Learn Music A+ Edition,DS,Unknown,Talking Stick Games,0.05,2011
The Lost Treasures of Alexandria,DS,Unknown,Licensed 4U,0.05,2011
Check vs. Mate,PS3,Unknown,TopWare Interactive,0.04,2011
Jewel Quest Mysteries 2: Trail of the Midnight Heart,DS,Unknown,Licensed 4U,0.04,2011
Demolition Company: Gold Edition,PC,Unknown,Giants Software,0.04,2011
JASF: Jane's Advanced Strike Fighters,PC,Unknown,Trickstar Games,0.04,2011
Junior Island Adventure,DS,Unknown,Maximum Family Games,0.03,2011
Maximum Racing: Drag & Stock Racer,Wii,Unknown,Brain in a Jar,0.03,2011
Max & the Magic Marker,Wii,Unknown,Press Play,0.03,2011
Maximum Racing: GP Classic Racing,Wii,Unknown,Brain in a Jar,0.03,2011
Super Meat Boy: Ultra Edition!,PC,Unknown,Team Meat,0.03,2011
Take On Helicopters,PC,Unknown,Bohemia Interactive,0.03,2011
Gekiatsu!! Pachi Game Tamashi Vol. 1: CR Evangelion - Shinjitsu no Tsubasa,PSP,Unknown,Fields,0.03,2011
Gekiatsu!! Pachi Game Tamashi Vol. 2: CR Evangelion - Shinjitsu no Tsubasa,PS3,Unknown,Fields,0.03,2011
Farm Frenzy 3,DS,Unknown,Easy Interactive,0.02,2011
Vampire Mansion: Linda Hyde,DS,Unknown,Easy Interactive,0.02,2011
Love Once: Mermaid's Tears,PS3,Unknown,Silicon Studio,0.02,2011
Meikyuu Cross Blood: Reloaded,X360,Unknown,Kadokawa Shoten,0.02,2011
Mystery Tales 2: The Spirit Mask,DS,Unknown,Easy Interactive,0.02,2011
Airport Simulator,PC,Unknown,Just Sims,0.02,2011
Maximum Racing: Crash Car Racer,Wii,Unknown,Brain in a Jar,0.02,2011
Red Stone DS: Akaki Ishi ni Michibikareshi Monotachi,DS,Unknown,Logic Korea,0.01,2011
Dark Parables: The Exiled Prince,PC,Unknown,Blue Tea Games,0.01,2011
Real Crimes: The Unicorn Killer,DS,Unknown,Licensed 4U,0.01,2011
The Treasures of Mystery Island 3 Pack - Save Mystery Island!,PC,Unknown,Viva Media,0.01,2011
Fit & Fun,Wii,Unknown,Funbox Media,0.01,2011
Maximum Racing: Super Karts,Wii,Unknown,Nordic Games Publishing,0.01,2011
The Tiny Bang Story,PC,Unknown,Colibri Games,0.01,2011
Secret Mysteries in London,3DS,Unknown,Licensed 4U,0.01,2011
Maximum Racing: Super Truck Racer,Wii,Unknown,Brain in a Jar,0.01,2011
Maximum Racing: Sprint Cars,Wii,Unknown,Brain in a Jar,0.01,2011
Maximum Racing: Rally Racer,Wii,Unknown,Brain in a Jar,0.01,2011
Infestation: Survivor Stories,PC,Unknown,Hammerpoint Interactive,2.8,2012
Out There Somewhere,PC,Unknown,Unknown,0.52,2012
Krater,PC,Unknown,Fatshark,0.18,2012
Jewel Link Chronicles: Mountains of Madness,DS,Unknown,Avanquest Software,0.06,2012
The Lost Chronicles of Zerzura,PC,Unknown,Cranberry Production,0.05,2012
Mahjong 3D: Warriors of the Emperor,3DS,Unknown,Engine Software,0.05,2012
Deadliest Warrior: Ancient Combat,X360,Unknown,"Pipeworks Software, Inc.",0.04,2012
Deadliest Warrior: Ancient Combat,PS3,Unknown,"Pipeworks Software, Inc.",0.04,2012
Heroes of Hellas 2: Olympia,DS,Unknown,Easy Interactive,0.03,2012
Oil Rush,PC,Unknown,Unigine Corp,0.02,2012
Pro Angler Moves,PS3,Unknown,"Interworks Unlimited, Inc.",0.01,2012
Hammerwatch,PC,Unknown,Unknown,0.96,2013
Bit.Trip Presents... Runner 2: Future Legend of Rhythm Alien,PC,Unknown,Unknown,0.36,2013
The Bridge,PC,Unknown,Unknown,0.32,2013
Edge of Space,PC,Unknown,Unknown,0.22,2013
Fuun Shinsengumi Bakumatsuden Portable,PSP,Unknown,From Software,0.01,2013
Spintires,PC,Unknown,Unknown,1.39,2014
Transistor,PC,Unknown,Supergiant Games,1.33,2014
Mount Your Friends,PC,Unknown,Unknown,0.94,2014
Phoenix Wright: Ace Attorney - Dual Destinies,3DS,Unknown,Capcom,0.38,2014
Revolution Ace,PC,Unknown,Unknown,0.37,2014
Lichdom: Battlemage,PC,Unknown,Unknown,0.23,2014
Canyon Capers,PC,Unknown,Unknown,0.23,2014
Contraption Maker,PC,Unknown,Unknown,0.23,2014
Dreamfall Chapters,PC,Unknown,Unknown,0.19,2014
Melody's Escape,PC,Unknown,Unknown,0.16,2014
Soukai Buccaneers,PSV,Unknown,Unknown,0.01,2014
ShellShock Live,PC,Unknown,kChamp Games,1.53,2015
War for the Overworld,PC,Unknown,Unknown,0.36,2015
Cat Goes Fishing,PC,Unknown,Cat5Games,0.14,2015
Possession Magenta,PSV,Unknown,Unknown,0.01,2015
Euro Fishing,PC,Unknown,Dovetail Games,0.01,2015
Rear Pheles: Red of Another,PSV,Unknown,Unknown,0.01,2015
How to Survive 2,PC,Unknown,EKO Software,2.15,2016
Factorio,PC,Unknown,Unknown,1.71,2016
Firewatch,PC,Unknown,Unknown,0.96,2016
Rivals of Aether,PC,Unknown,Unknown,0.29,2016
Mad Hunter,PC,Unknown,Unknown,0.24,2016
Sengoku Otome: Legend Battle,PSV,Unknown,Unknown,0.04,2016
Shitsuji ga Aruji o Erabu Toki,PSV,Unknown,Unknown,0.03,2016
Strawberry Nauts,PSV,Unknown,Unknown,0.02,2016
PuraMai Wars V,PSV,Unknown,Unknown,0.02,2016
Stick Fight: The Game,PC,Unknown,Landfall West,2.01,2017
Night in the Woods,PC,Unknown,Unknown,0.22,2017
Mouse in Lab,PC,Unknown,Unknown,0.13,2017
Cucumber Blues,PC,Unknown,Unknown,0.13,2017
GRUZCHIK,PC,Unknown,Unknown,0.1,2017
Greed Corp,PC,W!Games,W!Games,0.17,2010
Triggerheart Exelica,DC,Warashi,Warashi Inc.,0.02,2007
Tenchi Muyou! Ryoukouki Gokuraku,SAT,Yumedia,Yumedia,0.06,1995
Stronghold 2,PC,2K Games,FireFly Studios,0.3,2005
Ford Mustang: The Legend Lives,PS2,2K Games,Eutechnyx,0.29,2005
Ford Racing 3,PS2,2K Games,Empire Interactive,0.26,2005
Conflict: Global Terror,PS2,2K Games,Pivotal Games,0.19,2005
Close Combat: First to Fight,XB,2K Games,Destineer,0.18,2005
Sid Meier's Civilization IV,PC,2K Games,Firaxis Games,0.16,2005
Sid Meier's Pirates!,XB,2K Games,Firaxis Games,0.14,2005
Zathura,PS2,2K Games,High Voltage Software,0.12,2005
Motocross Mania 3,PS2,2K Games,Deibus Studios,0.1,2005
Conflict: Global Terror,XB,2K Games,Pivotal Games,0.1,2005
Ford Mustang: The Legend Lives,XB,2K Games,Eutechnyx,0.09,2005
Ford Racing 3,XB,2K Games,Razorworks Studios,0.09,2005
Call of Cthulhu: Dark Corners of the Earth,XB,2K Games,Headfirst Productions,0.06,2005
Serious Sam II,XB,2K Games,Croteam,0.06,2005
Shattered Union,XB,2K Games,PopTop Software,0.04,2005
Stronghold 2 Deluxe,PC,2K Games,FireFly Studios,0.02,2005
Zathura,XB,2K Games,High Voltage Software,0.02,2005
Motocross Mania 3,XB,2K Games,Deibus Studios,0.02,2005
Serious Sam II,PC,2K Games,Croteam,0.01,2005
Prey,X360,2K Games,Venom Games / Human Head Studios,0.32,2006
24: The Game,PS2,2K Games,SCEE Cambridge,0.3,2006
Stronghold Legends,PC,2K Games,FireFly Studios,0.25,2006
Family Guy,PSP,2K Games,High Voltage Software,0.19,2006
Dungeon Siege: Throne of Agony,PSP,2K Games,SuperVillain Studios,0.16,2006
The Da Vinci Code,PS2,2K Games,Double Helix Games,0.14,2006
Prey,PC,2K Games,Human Head Studios,0.04,2006
The Da Vinci Code,XB,2K Games,Double Helix Games,0.04,2006
Sid Meier's Railroads!,PC,2K Games,Firaxis Games,0.04,2006
Dungeon Siege II: Broken World,PC,2K Games,Gas Powered Games,0.01,2006
BioShock,X360,2K Games,2K Australia / 2K Boston,2.83,2007
BioShock,PC,2K Games,2K Australia / 2K Boston,1.29,2007
The Darkness,PS3,2K Games,Starbreeze,0.66,2007
The Darkness,X360,2K Games,Starbreeze,0.44,2007
Fantastic Four: Rise of the Silver Surfer,PS2,2K Games,7 Studios,0.39,2007
Ghost Rider,PSP,2K Games,Climax Group,0.24,2007
Sid Meier's Pirates!,PSP,2K Games,Full Fat,0.2,2007
Fantastic Four: Rise of the Silver Surfer,PS3,2K Games,Visual Concepts,0.15,2007
Fantastic Four: Rise of the Silver Surfer,X360,2K Games,Visual Concepts,0.11,2007
Fantastic Four: Rise of the Silver Surfer,Wii,2K Games,7 Studios,0.05,2007
Fantastic Four: Rise of the Silver Surfer,DS,2K Games,7 Studios,0.04,2007
BioShock,PS3,2K Games,2K Boston / 2K Australia / 2K Marin,1.44,2008
Sid Meier's Civilization Revolution,X360,2K Games,Firaxis Games,0.83,2008
Sid Meier's Civilization Revolution,PS3,2K Games,Firaxis Games,0.78,2008
Sid Meier's Civilization Revolution,DS,2K Games,Firaxis,0.45,2008
Don King Presents: Prizefighter,X360,2K Games,Venom Games,0.25,2008
Borderlands,X360,2K Games,Gearbox Software,3.48,2009
Borderlands,PS3,2K Games,Gearbox Software,2.12,2009
Borderlands,PC,2K Games,Gearbox Software,0.17,2009
The Stronghold Collection,PC,2K Games,FireFly Studios,0.13,2009
Mafia II,PC,2K Games,Illusion Softworks,2.31,2010
BioShock 2,X360,2K Games,2K Marin,2.2,2010
Sid Meier's Civilization V,PC,2K Games,Firaxis Games,1.7,2010
BioShock 2,PC,2K Games,2K Marin,1.56,2010
Mafia II,X360,2K Games,Illusion Softworks,1.56,2010
BioShock 2,PS3,2K Games,2K Marin,1.55,2010
Mafia II,PS3,2K Games,Illusion Softworks,1.49,2010
New Carnival Games,Wii,2K Games,Cat Daddy Games,0.61,2010
New Carnival Games,DS,2K Games,Cat Daddy Games,0.23,2010
Sid Meier's Pirates!,Wii,2K Games,Firaxis Games,0.16,2010
Borderlands: Double Game Add-On Pack,X360,2K Games,Gearbox Software,0.13,2010
The Misadventures of P.B. Winterbottom,PC,2K Games,The Odd Gentlemen,0.13,2010
Borderlands: Game of the Year Edition,PC,2K Games,Gearbox Software,0.03,2010
Borderlands: Game of the Year Edition,X360,2K Games,Gearbox Software,0.02,2010
Borderlands: Game of the Year Edition,PS3,2K Games,Gearbox Software,0.01,2010
Duke Nukem Forever,PC,2K Games,Gearbox Software,0.89,2011
Duke Nukem Forever,X360,2K Games,Gearbox Software,0.83,2011
Duke Nukem Forever,PS3,2K Games,Gearbox Software,0.76,2011
Sid Meier's Civilization V: Game of the Year Edition,PC,2K Games,Firaxis Games,0.01,2011
Borderlands 2,PS3,2K Games,Gearbox Software,2.27,2012
Borderlands 2,PC,2K Games,Gearbox Software,0.94,2012
XCOM: Enemy Unknown,PC,2K Games,Firaxis Games,0.72,2012
XCOM: Enemy Unknown,X360,2K Games,Firaxis Games,0.63,2012
XCOM: Enemy Unknown,PS3,2K Games,Firaxis Games,0.59,2012
Spec Ops: The Line,PS3,2K Games,Yager Development,0.55,2012
Spec Ops: The Line,X360,2K Games,Yager Development,0.42,2012
The Darkness II,X360,2K Games,Digital Extremes,0.4,2012
The Darkness II,PS3,2K Games,Digital Extremes,0.32,2012
Spec Ops: The Line,PC,2K Games,Yager Development,0.23,2012
The Darkness II,PC,2K Games,Digital Extremes,0.14,2012
Nicktoons MLB 3D,3DS,2K Games,"Black Lantern Studios, Inc.",0.06,2012
BioShock Infinite,PC,2K Games,Irrational Games,4.56,2013
Borderlands 2,X360,2K Games,Gearbox Software,3.06,2013
BioShock Infinite,X360,2K Games,Irrational Games,1.97,2013
BioShock Infinite,PS3,2K Games,Irrational Games,1.82,2013
The Bureau: XCOM Declassified,PS3,2K Games,2K Marin,0.27,2013
The Bureau: XCOM Declassified,X360,2K Games,2K Marin,0.22,2013
Sid Meier's Ace Patrol,PC,2K Games,Firaxis Games,0.16,2013
Sid Meier's Ace Patrol: Pacific Skies,PC,2K Games,Firaxis Games,0.13,2013
The Bureau: XCOM Declassified,PC,2K Games,2K Marin,0.05,2013
Borderlands: The Pre-Sequel,X360,2K Games,Unknown,0.75,2014
Borderlands 2,PSV,2K Games,Gearbox Software,0.68,2014
Borderlands: The Pre-Sequel,PS3,2K Games,Unknown,0.65,2014
Sid Meier's Civilization: Beyond Earth,PC,2K Games,Firaxis Games,0.4,2014
Borderlands: The Pre-Sequel,PC,2K Games,Unknown,0.32,2014
Borderlands: The Handsome Collection,PS4,2K Games,Gearbox Software,1.28,2015
Evolve,PS4,2K Games,Turtle Rock Studios,1.01,2015
Borderlands: The Handsome Collection,XOne,2K Games,Gearbox Software,0.68,2015
Evolve,XOne,2K Games,Turtle Rock Studios,0.67,2015
XCOM 2,PC,2K Games,Firaxis Games,0.31,2015
Evolve,PC,2K Games,Unknown,0.22,2015
Sid Meier's Starships,PC,2K Games,Firaxis Games,0.2,2015
Civilization Beyond Earth: Rising Tide,PC,2K Games,Firaxis Games,0.05,2015
Sid Meier's Civilization VI,PC,2K Games,Firaxis Games,5.5,2016
Mafia III,PS4,2K Games,Hangar 13,2.87,2016
WWE 2K17,PS4,2K Games,Yuke's,1.22,2016
Mafia III,XOne,2K Games,Hangar 13,1.11,2016
BioShock: The Collection,PS4,2K Games,"Blind Squirrel Digital, Inc",0.86,2016
Mafia III,PC,2K Games,Hangar 13,0.86,2016
WWE 2K17,XOne,2K Games,Yuke's,0.57,2016
Battleborn,PS4,2K Games,Gearbox Software,0.48,2016
BioShock: The Collection,XOne,2K Games,"Blind Squirrel Digital, Inc",0.48,2016
WWE 2K17,PS3,2K Games,Yuke's,0.37,2016
XCOM 2,PS4,2K Games,Firaxis Games,0.31,2016
WWE 2K17,X360,2K Games,Yuke's,0.3,2016
Battleborn,XOne,2K Games,Gearbox Software,0.28,2016
Battleborn,PC,2K Games,Gearbox Software,0.2,2016
XCOM 2,XOne,2K Games,Firaxis Games,0.19,2016
Carnival Games,NS,2K Games,Cat Daddy Games,0.27,2018
Sid Meier's Civilization VI,NS,2K Games,Firaxis Games,0.25,2018
NBA 2K Playgrounds 2,NS,2K Games,Saber Interactive,0.14,2018
Borderlands 2 VR,PS4,2K Games,Gearbox Software,0.09,2018
NBA 2K Playgrounds 2,PS4,2K Games,Saber Interactive,0.08,2018
Golf Club 2019,PS4,2K Games,HB Studios,0.06,2018
NBA 2K Playgrounds 2,XOne,2K Games,Saber Interactive,0.06,2018
Carnival Games,PS4,2K Games,Cat Daddy Games,0.05,2018
Golf Club 2019,XOne,2K Games,HB Studios,0.05,2018
Carnival Games,XOne,2K Games,Cat Daddy Games,0.05,2018
"Papers, Please",PC,3909 LLC,3909 LLC,2.31,2013
NASCAR Heat 2,PS4,704Games,Monster Games,0.13,2017
NASCAR Heat 2,XOne,704Games,Monster Games,0.12,2017
NASCAR Heat 3,PS4,704Games,Monster Games,0.13,2018
NASCAR Heat 3,XOne,704Games,Monster Games,0.1,2018
Know How 2,DS,7G//AMES,Bitfield GmbH,0.01,2010
TV Total Events,Wii,7G//AMES,7G//AMES,0.02,2011
Germany's Next Topmodel 2011,Wii,7G//AMES,SevenOne Intermedia GmbH,0.02,2011
Germany's Next Topmodel 2011,DS,7G//AMES,SevenOne Intermedia GmbH,0.02,2011
Board Game: Top Shop,PS,A1 Games,KID,0.02,1999
Snowboarding,PS,A1 Games,Atelier Double,0.29,2000
Shooter: Starfighter Sanvein,PS,A1 Games,Success,0.02,2001
Bubsy 3D,PS,Accolade,Eidetic,0.19,1996
HardBall 5,PS,Accolade,MindSpan,0.12,1996
Pitball,PS,Accolade,Time Warner Interactive,0.03,1996
Test Drive 4,PS,Accolade,Pitbull Syndicate,1.21,1997
Test Drive: Off Road,PS,Accolade,Motivetime,1.16,1997
PO'ed,PS,Accolade,Any Channel,0.04,1997
Test Drive 5,PS,Accolade,Pitbull Syndicate,1.3,1998
Big Air,PS,Accolade,Pitbull Syndicate,0.19,1999
Bubsy: The Woolies Strike Back,PS4,Accolade,Black Forest Games,0.05,2017
X-Plane 10 Global,PC,Aerosoft,Laminar Research,0.02,2013
Fernbus Simulator,PC,Aerosoft,TML Studios,0.12,2016
X-Plane 11,PC,Aerosoft,Laminar Research,0.06,2017
Farming Simulator 17: Straw Harvest,PC,Aerosoft,Creative Mesh,0.04,2017
To Heart,PS,Aquaplus,Aquaplus,0.14,1999
Utawarerumono: Chiriyukusha e no Komoriuta,PS2,Aquaplus,Flight-Plan,0.11,2006
Routes PE,PS2,Aquaplus,Aquaplus,0.01,2007
Tears to Tiara: Kakan no Daichi,PS3,Aquaplus,Aquaplus,0.08,2008
To Heart 2 Portable,PSP,Aquaplus,Aquaplus,0.04,2009
Tears to Tiara Gaiden: Avalon no Nazo,PS3,Aquaplus,Aquaplus,0.04,2009
Utawarerumono Portable,PSP,Aquaplus,Aquaplus,0.03,2009
White Album: Tsuzurareru Fuyu no Omoide,PS3,Aquaplus,Aquaplus,0.05,2010
Tears to Tiara: Kakan no Daichi Portable,PSP,Aquaplus,Aquaplus,0.01,2010
To Heart 2: Dungeon Travelers,PSP,Aquaplus,Aquaplus,0.11,2011
To Heart 2 DX Plus,PS3,Aquaplus,Aquaplus,0.05,2011
To Heart Portable,PSP,Aquaplus,Aqua Plus,0.01,2011
Dungeon Travelers 2-2: The Maiden Who Fell into Darkness and the Book of Beginnings,PSV,Aquaplus,Aqua Plus,0.06,2017
Utawarerumono Zan,PS4,Aquaplus,Tamsoft,0.03,2018
Guild Wars 2 - Path of Fire,PC,ArenaNet,ArenaNet,0.01,2017
TransOcean: The Shipping Company,PC,Astragon,Deck13 Hamburg,0.11,2014
Transport Fever,PC,Astragon,Urban Games,0.34,2016
Dark Parables: The Little Mermaid and the Purple Tide,PC,Astragon,Big Fish Games,0.01,2016
Bus Simulator 16,PC,Astragon,stillalive studios,0.15,2017
M&Ms Shell Shocked,PS,Berkeley,Simon & Schuster Interactive,0.03,2001
Aquaria,PC,Bit Blot,Bit Blot,0.16,2007
Isshoni Gohan. Portable,PSP,Boost On,Unknown,0.01,2013
Galaxy Angel II: Zettairyouiki no Tobira,PS2,Broccoli,Seta Corporation,0.03,2006
Galaxy Angel II: Mugen Kairou no Kagi,PS2,Broccoli,Seta Corporation,0.03,2007
Shinseiki Evangelion: Battle Orchestra,PS2,Broccoli,Headlock,0.02,2007
Meitantei Evangelion,PS2,Broccoli,Headlock,0.02,2007
Shinseiki Evangelion Ayanami Ikusei Keikaku DS with Asuka Hokan Keikaku,DS,Broccoli,Broccoli,0.03,2008
Galaxy Angel II: Eigou Kaiki no Koku,PS2,Broccoli,Broccoli,0.02,2009
Shinseiki Evangelion: Battle Orchestra Portable,PSP,Broccoli,Headlock,0.01,2009
Game Book DS: Sword World 2.0,DS,Broccoli,Broccoli,0.01,2009
Uta no * Prince-Sama,PSP,Broccoli,Broccoli,0.02,2010
Game Book DS: Aquarian Age Perpetual Period,DS,Broccoli,Broccoli,0.01,2010
Uta no * Prince-Sama: Repeat,PSP,Broccoli,Broccoli,0.14,2011
Uta no Prince-Sama: Music,PSP,Broccoli,Broccoli,0.1,2011
Uta no * Prince-Sama: Sweet Serenade,PSP,Broccoli,Broccoli,0.01,2011
Uta no Prince-Sama: Debut,PSP,Broccoli,Nippon Ichi Software,0.09,2012
Koi Sentai Love & Peace the P.S.P: Power Zenkai! Special Youso Tenkomori de Portable Ka Daisakusen de Aru!,PSP,Broccoli,Unknown,0.01,2012
Uta no * Prince-Sama: All Star,PSP,Broccoli,Nippon Ichi Software,0.12,2013
Uta no?Prince-sama? MUSIC 2,PSP,Broccoli,Nippon Ichi Software,0.09,2013
Kamigami no Asobi: Ludere Deorum,PSP,Broccoli,Nippon Ichi Software,0.03,2013
Meiji Tokyo Renka,PSP,Broccoli,HuneX,0.02,2013
Uta no Prince-Sama: All Star After Secret,PSP,Broccoli,Unknown,0.09,2015
Meiji Toukyou Renka: Twilight Kiss,PSP,Broccoli,Unknown,0.02,2015
Uta no Prince-Sama: Music 3,PSV,Broccoli,Nippon Ichi Software,0.06,2016
Maji-Kyun! Renaissance,PSV,Broccoli,Unknown,0.02,2016
Kamigami no Asobi InFinite,PSV,Broccoli,Unknown,0.02,2016
Uta no Prince-Sama: Repeat Love,PSV,Broccoli,Broccoli,0.04,2017
Uta no Prince-sama: Amazing Aria & Sweet Serenade Love,PSV,Broccoli,Broccoli,0.02,2017
Killer and Strawberry,PSV,Broccoli,Broccoli,0.01,2018
Brother Wings,PC,Brogames,Brogames,0.12,2017
QUIZ PARTY,Wii,CK Games,WizarBox,0.03,2012
Shake Your Money Simulator 2016,PC,CharlieH,CharlieH,0.24,2016
Otogirisou,SNES,ChunSoft,ChunSoft,0.16,1992
Torneko no Daibouken: Fushigi no Dungeon,SNES,ChunSoft,ChunSoft,0.78,1993
Kamaitachi no Yoru,SNES,ChunSoft,ChunSoft,0.81,1994
Fushigi no Dungeon 2: Fuurai no Shiren,SNES,ChunSoft,ChunSoft,0.4,1995
Fushigi no Dungeon: Fuurai no Shiren GB: Tsukikagemura no Kaibutsu,GB,ChunSoft,Aquamarine,0.27,1996
Sound Novel Machi,SAT,ChunSoft,ChunSoft,0.09,1998
Sound Novel Evolution 1: Otogirisou Sosei-Hen,PS,ChunSoft,ChunSoft,0.17,1999
Fushigi no Dungeon: Furai no Shiren 2 - Oni Shuurai! Shiren Shiro!,N64,ChunSoft,ChunSoft,0.37,2000
Kamaitachi no Yoru 2,PS2,ChunSoft,ChunSoft,0.36,2002
Machi: Unmei no Kousaten,PSP,ChunSoft,ChunSoft,0.02,2006
Kamaitachi no Yoru 2: Tokubetsu Hen,PSP,ChunSoft,ChunSoft,0.01,2006
Fushigi no Dungeon: Fuurai no Shiren 5 - Fortune Tower to Unmei no Dice,DS,ChunSoft,ChunSoft,0.04,2010
Shin Kamaitachi no Yoru: 11 Hitome no Suspect,PSV,ChunSoft,ChunSoft,0.05,2011
Zombi Daisuki,DS,ChunSoft,ChunSoft,0.04,2011
Entaku no Seito: Students of Round,X360,ChunSoft,Experience Inc.,0.01,2011
Kyokugen Dasshutsu ADV: Zennin Shiboudesu,3DS,ChunSoft,"Chunsoft Co., Ltd.",0.03,2012
Kyokugen Dasshutsu ADV: Zennin Shiboudesu,PSV,ChunSoft,ChunSoft,0.03,2012
Juggler DS,DS,Commseed,Commseed,0.01,2008
Tale of a Hero,PC,Daedalic,Future Games,0.02,2010
Airlock,2600,Data Age,Data Age,0.39,1982
Frankenstein's Monster,2600,Data Age,Data Age,0.32,1983
Eikan wa Kimini 2002: Koshien no Kodou,PS2,DigiCube,ArtDink,0.06,2002
Greyfox RPG,PC,EQ Games,Lesley Dodd,0.26,2015
Legend of Mysteria RPG,PC,EQ Games,Labyrinthine,0.25,2015
Sun Blast: Star Fighter,PC,EQ Games,OBLONE Software,0.14,2015
Flight Control HD,PC,Firemint,Firemint,0.11,2010
BADLAND: Game of the Year Edition,PC,Frogmind,Frogmind,0.12,2015
Cruise Ship Vacation Games,Wii,GameMill,Frozen Codebase,0.13,2009
Water Sports,Wii,GameMill,FrontLine Studios,0.1,2009
Hidden Mysteries: Buckingham Palace,DS,GameMill,Gunnar Games,0.22,2010
Hidden Mysteries: Vampire Secrets,DS,GameMill,Gunnar Games,0.19,2010
Escape the Museum,DS,GameMill,Gogii Games,0.18,2010
Brunswick Cosmic Bowling,Wii,GameMill,CokeM Interactive,0.17,2010
Hidden Mysteries: Salem Secrets - Witch Trials of 1692,DS,GameMill,Gunnar Games,0.14,2010
Pheasants Forever Wingshooter,Wii,GameMill,High Voltage Software,0.06,2010
Country Dance,Wii,GameMill,High Voltage Software,0.67,2011
Country Dance 2,Wii,GameMill,High Voltage Software,0.46,2011
Pinkalicious,DS,GameMill,GameMill Entertainment,0.27,2011
Pillow Pets,DS,GameMill,GameMill Publishing,0.09,2011
DaGeDar,DS,GameMill,GameMill Entertainment,0.08,2011
Moxie Girlz,DS,GameMill,1st Playable,0.07,2011
Silverlicious,DS,GameMill,GameMill Entertainment,0.03,2012
Xia-Xia,DS,GameMill,"Black Lantern Studios, Inc.",0.01,2012
Big Hero 6: Battle in the Bay,3DS,GameMill,GameMill,0.18,2014
Legends of Oz: Dorothy's Return,3DS,GameMill,"Black Lantern Studios, Inc.",0.01,2014
Big Hero 6: Battle in the Bay,DS,GameMill,GameMill,0.01,2014
Cartoon Network Battle Crashers,3DS,GameMill,Magic Pockets,0.06,2016
Cartoon Network Battle Crashers,XOne,GameMill,Magic Pockets,0.06,2016
Cartoon Network Battle Crashers,PS4,GameMill,Magic Pockets,0.06,2016
Cartoon Network Battle Crashers,NS,GameMill,Magic Pockets,0.08,2017
Rapala Fishing Pro Series,PS4,GameMill,"Concrete Software, Inc.",0.08,2017
Monster Jam: Crush It,NS,GameMill,GameMill,0.08,2017
Rapala Fishing Pro Series,XOne,GameMill,"Concrete Software, Inc.",0.06,2017
Monster Jam: Crush It,PS4,GameMill,GameMill,0.05,2017
Monster Jam: Crush It,XOne,GameMill,GameMill,0.04,2017
Big Buck Hunter Arcade,XOne,GameMill,GameMill Entertainment,0.02,2017
Dementium: The Ward,DS,Gamecock,Renegade Kid,0.17,2007
Legendary,X360,Gamecock,Spark Unlimited,0.26,2008
Legendary,PS3,Gamecock,Spark Unlimited,0.13,2008
Mushroom Men: Rise of the Fungi,DS,Gamecock,Red Fly Studio,0.11,2008
Insecticide,DS,Gamecock,"Crackpot Entertainment / Creat Studios, Inc.",0.06,2008
Hail to the Chimp,X360,Gamecock,Wideload Games,0.06,2008
Hail to the Chimp,PS3,Gamecock,Wideload Games,0.05,2008
Stronghold Crusader Extreme,PC,Gamecock,FireFly Studios,0.02,2008
Legendary,PC,Gamecock,Spark Unlimited,0.02,2008
Guitar Rock Tour,DS,Gameloft,Gameloft,0.11,2008
