Name,Critic_Score,User_Score
Combat of Giants: Dinosaurs 3D,4.3,5.3
Call of Juarez: The Cartel,5.4,
Call of Juarez: The Cartel,5.2,
The Adventures of Tintin: The Game,5.6,5.2
Self-Defense Training Camp,1.0,
Driver: Renegade,3.5,4.9
Just Dance 4,5.3,7.8
ESPN: Sports Connection,3.0,
Asphalt: Injection,4.9,5.0
Michael Jackson The Experience HD,5.7,6.0
Rayman Origins,9.5,8.4
Rayman Legends,9.5,8.8
Rayman Legends,9.5,
Rayman Legends,9.5,
Fighter Within,2.7,2.8
Rayman Legends,9.5,8.4
Rayman Legends,9.5,
Child of Light,9.3,8.0
Child of Light,9.3,8.1
Monopoly for Nintendo Switch,5.3,
Assassin's Creed Odyssey,9.5,5.9
South Park: The Fractured But Whole,9.5,9.5
Clue / Mouse Trap / Perfection / Aggravation,3.5,
Power Gig: Rise of the SixString,3.9,
Power Gig: Rise of the SixString,3.0,
Infestation: Survivor Stories,3.0,
Sid Meier's Civilization IV,9.4,
Motocross Mania 3,3.8,
Motocross Mania 3,3.8,
24: The Game,4.2,
Stronghold Legends,5.7,
The Da Vinci Code,4.8,
The Da Vinci Code,4.8,
BioShock,9.6,9.5
BioShock,9.6,
BioShock,9.3,9.6
Duke Nukem Forever,4.6,5.8
Duke Nukem Forever,4.3,
Duke Nukem Forever,4.4,
BioShock Infinite,9.5,8.6
BioShock Infinite,9.4,
BioShock Infinite,9.5,
Borderlands 2,5.4,7.7
Sid Meier's Civilization VI,9.4,7.8
Bus Simulator 16,4.6,6.0
Cartoon Network Battle Crashers,3.5,
Mushroom Men: Rise of the Fungi,5.1,
Stronghold Crusader Extreme,4.3,
Air Conflicts: Aces of World War II,3.3,
C.O.R.E.,4.4,
MC Groovz Dance Craze,2.5,
Dark Angel: Vampire Apocalypse,4.6,
Stake: Fortune Fighters,2.3,
Moto Racer 4,4.9,5.4
E.T. The Extra-Terrestrial,3.5,
F1 Race,9.5,7.4
Super Mario Bros.,10.0,8.2
Tetris,9.4,8.7
Super Mario Bros. 3,9.8,9.3
Super Mario Kart,10.0,
The Legend of Zelda: A Link to the Past,10.0,
Kirby's Adventure,9.5,
Donkey Kong Country 2: Diddy's Kong Quest,9.3,
Super Mario 64,9.7,9.0
GoldenEye 007,9.8,
Pokemon Red / Green / Blue Version,9.4,8.8
The Legend of Zelda: Ocarina of Time,9.9,10.0
Banjo-Kazooie,9.3,9.4
The Legend of Zelda: Link's Awakening DX,9.4,
Donkey Kong 64,9.3,
Super Mario Bros. Deluxe,9.7,
The Legend of Zelda: Majora's Mask,9.3,
Banjo-Tooie,9.3,
Mario Kart: Super Circuit,9.3,
The Legend of Zelda: Oracle of Ages,9.4,
The Legend of Zelda: Oracle of Seasons,9.3,
Advance Wars,9.4,
Super Mario World: Super Mario Advance 2,9.4,
Metroid Prime,9.6,9.5
The Legend of Zelda: A Link to the Past,9.6,
Eternal Darkness: Sanity's Requiem,9.3,
The Legend of Zelda: The Wind Waker,9.6,
Pokemon Channel,5.2,
Classic NES Series: Pac-Man,5.7,
Mario Golf: Advance Tour,9.5,
Classic NES Series: Bomberman,5.4,
Classic NES Series: Metroid,5.2,
Pokemon Dash,5.3,
Dynasty Warriors Advance,5.2,
The Legend of Zelda: Twilight Princess,9.5,9.6
The Legend of Zelda: Twilight Princess,9.5,
Tenchu: Dark Secret,3.5,
Super Mario Galaxy,9.7,9.6
Pokemon Battle Revolution,5.2,
Diddy Kong Racing DS,5.1,
Donkey Kong Barrel Blast,4.8,
Wii Music,5.6,
Pokemon Mystery Dungeon: Explorers of Sky,5.7,
Super Mario Galaxy 2,9.7,9.8
FlingSmash,3.8,
Samurai Warriors 3,5.1,
The Legend of Zelda: Ocarina of Time 3D,9.3,9.0
The Legend of Zelda: Skyward Sword,9.4,
Wii Play: Motion,5.2,
Pokemon Rumble Blast,5.3,6.9
Steel Diver,5.6,6.2
Xenoblade Chronicles,9.3,
Spirit Camera: The Cursed Memoir,5.7,6.0
Super Mario 3D World,9.5,8.9
The Legend of Zelda: A Link Between Worlds,9.3,9.0
The Legend of Zelda: The Wind Waker,9.3,
Bayonetta 2,9.3,8.9
Animal Crossing: Amiibo Festival,4.8,
Fossil Fighters: Frontier,5.7,5.0
Devil's Third,3.8,5.7
Mario Kart 8 Deluxe,9.3,8.7
Super Mario Odyssey,9.9,9.0
The Legend of Zelda: Breath of the Wild,9.9,10.0
1-2-Switch,5.7,
The Legend of Zelda: Breath of the Wild,10.0,10.0
Super Smash Bros. Ultimate,9.4,9.7
Bayonetta 2,9.5,8.4
AereA,4.6,1.8
Putty Squad,3.8,3.0
Fez,9.5,6.7
Baldur's Gate: Dark Alliance,9.4,
Whirl Tour,5.1,
4X4 EVO 2,5.1,
Whirl Tour,5.1,
Counter-Strike: Source,9.3,
Half-Life 2,9.7,
Van Helsing,2.5,
Knight's Apprentice: Memorick's Adventures,5.7,
Thunder Alley,2.0,
DT Racer,3.2,
PopStar Guitar,3.5,
Ten Pin Alley 2,2.0,
Bass Pro Shops: The Strike,4.8,
Torino 2006,4.4,
Top Spin 2,5.2,
Torino 2006,4.4,
MLB Superstars,2.8,
NBA 2K10,5.1,
NBA 2K11,9.5,
Major League Baseball 2K10,2.8,
NBA 2K14,9.3,
NBA 2K14,9.3,
WWE 2K15,5.6,5.5
Championship Foosball,3.5,
Rolling Stone: Drum King,3.0,
Naughty Bear,4.4,
Backbreaker,5.2,
Rugby World Cup 2011,4.8,
Blackwater,2.5,
How to Survive,5.4,7.0
Raid: World War II,4.6,3.5
Raid: World War II,4.6,6.1
Dino Dini's Kick Off Revival,3.1,4.6
Street Jam Basketball,3.5,
Lionel Trains: On Track,3.5,
Arctic Tale,3.5,
Showtime Championship Boxing,3.5,
Balls of Fury,1.2,
John Deere: Harvest in the Heartland,3.0,
Kawasaki Quad Bikes,2.0,
Summer Sports: Paradise Island,4.4,
Iron Chef America: Supreme Cuisine,2.0,
Candace Kane's Candy Factory,5.2,
Homie Rollerz,2.0,
Kawasaki Snowmobiles,2.1,
Kawasaki Jet Ski,2.0,
Puzzle City,4.8,
FIFA Soccer 64,4.2,
Triple Play 2000,5.4,
Madden NFL 2001,9.4,
Madden NFL 2003,9.4,
Triple Play 2002,3.8,
Madden NFL 2004,9.5,
Madden NFL 2004,9.4,
Madden NFL 2005,9.5,
Madden NFL 2005,9.5,
FIFA World Cup: Germany 2006,4.3,
NCAA March Madness 08,4.9,
Tiger Woods PGA Tour 09,5.2,
NCAA Basketball 09,5.1,
NBA Live 09 All-Play,5.4,
NCAA Football 09 All-Play,5.3,
NBA Live 14,4.3,2.6
NBA Live 14,4.3,3.1
July,4.8,
Has-Been Heroes,4.8,7.2
Friday the 13th: The Game,5.3,5.5
Casper,4.9,
ClayFighter 63 1/3,3.1,
Baldur's Gate II: Shadows of Amn,9.5,
Star Wars: Knights of the Old Republic,9.4,10.0
RTX Red Rock,5.6,
Star Wars Knights of the Old Republic II: The Sith Lords,9.3,9.3
LEGO Star Wars II: The Original Trilogy,4.9,
LEGO Indiana Jones 2: The Adventure Continues,5.2,
Star Wars The Clone Wars: Republic Heroes,4.8,
Indiana Jones and the Staff of Kings,5.1,
LEGO Indiana Jones 2: The Adventure Continues,5.2,
Rock Band 3,9.4,
Age of Empires II: The Age of Kings,9.3,
Halo: Combat Evolved,9.5,
Tenchu Z,5.7,
You're in the Movies,5.1,
Don't Knock Twice,5.6,5.6
Novastorm,2.0,
The City of Lost Children,4.9,
Spice World,2.0,
Final Fantasy VIII,9.4,
Chocobo Racing,5.4,
Chrono Cross,9.7,9.5
Vagrant Story,9.3,
Ultimate Card Games,9.5,
Calvin Tucker's Redneck Jamboree,3.4,
Army Men: Soldiers of Misfortune,2.5,
Army Men: Soldiers of Misfortune,3.5,
A Collection of Activision Classic Games for the Atari 2600,3.8,
The Fifth Element,3.7,
Judge Dredd,2.0,
Tony Hawk's Pro Skater,9.6,
A Collection of Intellivision Classic Games,4.3,
Tony Hawk's Pro Skater 2,9.3,
Tony Hawk's Pro Skater,9.3,
Covert Ops: Nuclear Dawn,4.8,
Tony Hawk's Pro Skater 3,9.6,
Shaun Palmer's Pro Snowboarder,3.0,
Tony Hawk's Pro Skater 4,9.6,
Cabela's Big Game Hunter,5.7,
Tony Hawk's Pro Skater 3,9.5,
Tony Hawk's Pro Skater 3,9.6,
Blade II,4.9,
Blade II,5.2,
Return to Castle Wolfenstein: Tides of War,9.3,
Tony Hawk's Underground,9.5,
Doom 3,9.3,
World Series of Poker,3.5,
World Series of Poker,3.5,
World Series of Poker,4.7,
X-Men: The Official Game,4.9,
Over the Hedge: Hammy Goes Nuts!,4.8,
Pimp My Ride,3.8,
X-Men: The Official Game,5.7,
X-Men: The Official Game,4.8,
World Series of Poker: Tournament of Champions 2007 Edition,4.6,
Greg Hastings' Tournament Paintball Max'd,2.2,
Call of Duty 4: Modern Warfare,9.6,9.0
Call of Duty 4: Modern Warfare,9.5,9.6
Call of Duty 4: Modern Warfare,9.3,
Spider-Man 3,4.4,
Transformers: The Game,4.3,
Transformers: The Game,5.2,
Spider-Man 3,4.8,
Spider-Man: Friend or Foe,5.3,
Hot Wheels: Beat That!,3.3,
Transformers: The Game,5.7,
Spider-Man: Friend or Foe,5.4,
Spider-Man 3,5.3,
Cabela's Trophy Bucks,5.3,
Dancing With The Stars,5.7,
Hot Wheels: Beat That!,3.5,
Spider-Man: Friend or Foe,5.6,
Hot Wheels: Beat That!,3.3,
Cabela's Trophy Bucks,5.1,
Spider-Man: Friend or Foe,5.6,
007: Quantum of Solace,5.6,
Madagascar: Escape 2 Africa,4.6,
Crash: Mind Over Mutant,4.8,
Crash: Mind Over Mutant,3.2,
Cabela's Dangerous Hunts 2009,4.8,
Enemy Territory: Quake Wars,5.3,
Madagascar: Escape 2 Africa,4.7,
Madagascar: Escape 2 Africa,4.7,
Rapala Fishing Frenzy 2009,2.5,
Block Party,3.3,
Cabela's Dangerous Hunts 2009,5.2,
Cabela's Dangerous Hunts 2009,5.2,
Pimp My Ride,2.2,
Big League Sports,2.3,
Cabela's Trophy Bucks,5.6,
Rapala Fishing Frenzy 2009,2.5,
Spider-Man: Web of Shadows,5.3,
Madagascar: Escape 2 Africa,4.3,
